date,open,high,low,close,volume
2024-01-24,103.2964,104.5384,102.4683,103.5034,1084
2024-01-25,103.3000,104.5421,102.4720,103.5071,1091
2024-01-26,103.3023,104.5444,102.4742,103.5093,1096
2024-01-27,103.3034,104.5456,102.4754,103.5105,1099
2024-01-28,103.3039,104.5460,102.4758,103.5109,1099
2024-01-01,103.3039,104.5461,102.4758,103.5109,1098
2024-01-02,103.3040,104.5461,102.4759,103.5110,1095
2024-01-03,103.3043,104.5465,102.4763,103.5114,1090
2024-01-04,103.3054,104.5476,102.4773,103.5124,1083
2024-01-05,103.3075,104.5497,102.4794,103.5146,1075
2024-01-06,103.3111,104.5533,102.4829,103.5181,1065
2024-01-07,103.3163,104.5586,102.4881,103.5233,1053
2024-01-08,103.3236,104.5659,102.4953,103.5306,1041
2024-01-09,103.3332,104.5757,102.5049,103.5403,1027
2024-01-10,103.3455,104.5881,102.5171,103.5526,1013
2024-01-11,103.3607,104.6035,102.5322,103.5679,1000
2024-01-12,103.3791,104.6222,102.5504,103.5863,986
2024-01-13,103.4009,104.6442,102.5721,103.6081,972
2024-01-14,103.4263,104.6699,102.5973,103.6336,959
2024-01-15,103.4556,104.6995,102.6263,103.6629,946
2024-01-16,103.4888,104.7331,102.6592,103.6962,935
2024-01-17,103.5260,104.7709,102.6962,103.7335,925
2024-01-18,103.5675,104.8128,102.7373,103.7751,916
2024-01-19,103.6133,104.8592,102.7827,103.8209,909
2024-01-20,103.6634,104.9098,102.8324,103.8711,904
2024-01-21,103.7178,104.9649,102.8864,103.9257,901
2024-01-22,103.7766,105.0244,102.9447,103.9845,901
2024-01-23,103.8396,105.0882,103.0072,104.0477,902
2024-01-24,103.9069,105.1563,103.0740,104.1151,905
2024-01-25,103.9783,105.2285,103.1448,104.1867,910
2024-01-26,104.0537,105.3048,103.2196,104.2622,917
2024-01-27,104.1329,105.3850,103.2982,104.3416,925
2024-01-28,104.2158,105.4689,103.3804,104.4246,935
2024-01-01,104.3021,105.5563,103.4660,104.5112,947
2024-01-02,104.3917,105.6469,103.5549,104.6009,959
2024-01-03,104.4842,105.7406,103.6467,104.6936,973
2024-01-04,104.5795,105.8370,103.7412,104.7891,987
2024-01-05,104.6771,105.9358,103.8380,104.8869,1000
2024-01-06,104.7769,106.0367,103.9370,104.9869,1014
2024-01-07,104.8784,106.1395,104.0377,105.0886,1028
2024-01-08,104.9814,106.2437,104.1399,105.1918,1042
2024-01-09,105.0854,106.3490,104.2431,105.2960,1054
2024-01-10,105.1902,106.4551,104.3470,105.4011,1065
2024-01-11,105.2954,106.5615,104.4514,105.5064,1075
2024-01-12,105.4006,106.6680,104.5557,105.6118,1084
2024-01-13,105.5055,106.7741,104.6597,105.7169,1091
2024-01-14,105.6096,106.8794,104.7630,105.8212,1096
2024-01-15,105.7126,106.9837,104.8652,105.9245,1099
2024-01-16,105.8143,107.0866,104.9660,106.0263,1099
2024-01-17,105.9141,107.1876,105.0651,106.1264,1098
2024-01-18,106.0119,107.2865,105.1621,106.2243,1095
2024-01-19,106.1072,107.3830,105.2566,106.3198,1090
2024-01-20,106.1998,107.4767,105.3485,106.4126,1083
2024-01-21,106.2894,107.5674,105.4374,106.5024,1075
2024-01-22,106.3758,107.6548,105.5230,106.5889,1065
2024-01-23,106.4586,107.7387,105.6052,106.6719,1053
2024-01-24,106.5377,107.8187,105.6837,106.7512,1040
2024-01-25,106.6129,107.8949,105.7583,106.8266,1027
2024-01-26,106.6841,107.9669,105.8289,106.8979,1013
2024-01-27,106.7511,108.0346,105.8953,106.9650,1000
2024-01-28,106.8137,108.0980,105.9575,107.0278,986
2024-01-01,106.8720,108.1570,106.0153,107.0862,972
2024-01-02,106.9259,108.2115,106.0687,107.1401,958
2024-01-03,106.9753,108.2616,106.1178,107.1897,946
2024-01-04,107.0204,108.3072,106.1625,107.2348,935
2024-01-05,107.0610,108.3484,106.2028,107.2756,924
2024-01-06,107.0975,108.3852,106.2390,107.3121,916
2024-01-07,107.1297,108.4179,106.2710,107.3444,909
2024-01-08,107.1580,108.4465,106.2990,107.3728,904
2024-01-09,107.1824,108.4712,106.3233,107.3972,901
2024-01-10,107.2032,108.4923,106.3439,107.4181,901
2024-01-11,107.2206,108.5099,106.3611,107.4355,902
2024-01-12,107.2348,108.5242,106.3752,107.4497,905
2024-01-13,107.2462,108.5357,106.3865,107.4611,910
2024-01-14,107.2549,108.5446,106.3952,107.4699,917
2024-01-15,107.2614,108.5511,106.4016,107.4763,925
2024-01-16,107.2659,108.5556,106.4060,107.4808,936
2024-01-17,107.2687,108.5585,106.4089,107.4837,947
2024-01-18,107.2703,108.5602,106.4105,107.4853,960
2024-01-19,107.2711,108.5609,106.4112,107.4860,973
2024-01-20,107.2712,108.5611,106.4113,107.4862,987
2024-01-21,107.2712,108.5611,106.4113,107.4862,1000
2024-01-22,107.2714,108.5613,106.4115,107.4864,1014
2024-01-23,107.2722,108.5621,106.4123,107.4872,1028
2024-01-24,107.2739,108.5638,106.4140,107.4889,1042
2024-01-25,107.2770,108.5669,106.4170,107.4920,1054
2024-01-26,107.2817,108.5716,106.4217,107.4966,1066
2024-01-27,107.2883,108.5784,106.4283,107.5033,1076
2024-01-28,107.2973,108.5875,106.4372,107.5124,1084
2024-01-01,107.3090,108.5993,106.4488,107.5240,1091
2024-01-02,107.3235,108.6140,106.4632,107.5386,1096
2024-01-03,107.3413,108.6320,106.4808,107.5564,1099
2024-01-04,107.3625,108.6534,106.5019,107.5776,1099
2024-01-05,107.3874,108.6786,106.5265,107.6026,1098
2024-01-06,107.4161,108.7077,106.5551,107.6314,1095
2024-01-07,107.4489,108.7409,106.5876,107.6643,1090
2024-01-08,107.4859,108.7784,106.6243,107.7013,1083
2024-01-09,107.5273,108.8202,106.6653,107.7428,1075
2024-01-10,107.5730,108.8665,106.7107,107.7886,1064
2024-01-11,107.6232,108.9173,106.7605,107.8389,1053
2024-01-12,107.6780,108.9727,106.8148,107.8937,1040
2024-01-13,107.7372,109.0326,106.8736,107.9531,1027
2024-01-14,107.8009,109.0971,106.9368,108.0169,1013
2024-01-15,107.8690,109.1660,107.0043,108.0852,1000
2024-01-16,107.9415,109.2393,107.0762,108.1578,985
2024-01-17,108.0181,109.3169,107.1522,108.2346,971
2024-01-18,108.0988,109.3986,107.2323,108.3154,958
2024-01-19,108.1834,109.4842,107.3162,108.4002,946
2024-01-20,108.2716,109.5735,107.4037,108.4886,934
2024-01-21,108.3633,109.6663,107.4947,108.5805,924
2024-01-22,108.4582,109.7623,107.5888,108.6756,916
2024-01-23,108.5561,109.8613,107.6859,108.7736,909
2024-01-24,108.6565,109.9630,107.7855,108.8743,904
2024-01-25,108.7593,110.0670,107.8874,108.9772,901
2024-01-26,108.8640,110.1730,107.9913,109.0822,901
2024-01-27,108.9704,110.2806,108.0969,109.1887,902
2024-01-28,109.0780,110.3896,108.2036,109.2966,905
2024-01-01,109.1866,110.4994,108.3113,109.4054,910
2024-01-02,109.2957,110.6099,108.4196,109.5147,917
2024-01-03,109.4050,110.7204,108.5280,109.6242,926
2024-01-04,109.5140,110.8308,108.6361,109.7335,936
2024-01-05,109.6225,110.9406,108.7437,109.8422,947
2024-01-06,109.7300,111.0494,108.8504,109.9499,960
2024-01-07,109.8361,111.1568,108.9557,110.0562,973
2024-01-08,109.9406,111.2625,109.0593,110.1609,987
2024-01-09,110.0430,111.3662,109.1609,110.2635,1001
2024-01-10,110.1430,111.4674,109.2601,110.3638,1015
2024-01-11,110.2404,111.5659,109.3567,110.4613,1029
2024-01-12,110.3347,111.6614,109.4502,110.5558,1042
2024-01-13,110.4257,111.7535,109.5406,110.6470,1054
2024-01-14,110.5132,111.8420,109.6274,110.7347,1066
2024-01-15,110.5970,111.9268,109.7104,110.8186,1076
2024-01-16,110.6767,112.0075,109.7895,110.8985,1084
2024-01-17,110.7523,112.0840,109.8645,110.9742,1091
2024-01-18,110.8236,112.1561,109.9352,111.0457,1096
2024-01-19,110.8904,112.2238,110.0015,111.1127,1099
2024-01-20,110.9528,112.2869,110.0634,111.1751,1099
2024-01-21,111.0105,112.3453,110.1207,111.2330,1098
2024-01-22,111.0637,112.3991,110.1734,111.2863,1095
2024-01-23,111.1123,112.4483,110.2216,111.3350,1090
2024-01-24,111.1563,112.4929,110.2653,111.3791,1083
2024-01-25,111.1959,112.5329,110.3046,111.4188,1074
2024-01-26,111.2311,112.5686,110.3395,111.4540,1064
2024-01-27,111.2621,112.5999,110.3702,111.4851,1053
2024-01-28,111.2891,112.6272,110.3970,111.5121,1040
2024-01-01,111.3121,112.6505,110.4198,111.5352,1027
2024-01-02,111.3316,112.6702,110.4391,111.5547,1013
2024-01-03,111.3476,112.6864,110.4550,111.5707,999
2024-01-04,111.3605,112.6995,110.4679,111.5837,985
2024-01-05,111.3706,112.7098,110.4779,111.5938,971
2024-01-06,111.3782,112.7175,110.4854,111.6014,958
2024-01-07,111.3837,112.7230,110.4908,111.6069,945
2024-01-08,111.3873,112.7266,110.4944,111.6105,934
2024-01-09,111.3894,112.7288,110.4965,111.6127,924
2024-01-10,111.3905,112.7299,110.4976,111.6137,916
2024-01-11,111.3908,112.7302,110.4979,111.6141,909
2024-01-12,111.3909,112.7302,110.4980,111.6141,904
2024-01-13,111.3909,112.7303,110.4980,111.6142,901
2024-01-14,111.3915,112.7309,110.4986,111.6147,901
2024-01-15,111.3928,112.7322,110.4999,111.6161,902
2024-01-16,111.3954,112.7348,110.5024,111.6186,905
2024-01-17,111.3995,112.7390,110.5066,111.6228,910
2024-01-18,111.4056,112.7452,110.5126,111.6289,917
2024-01-19,111.4140,112.7536,110.5209,111.6372,926
2024-01-20,111.4249,112.7647,110.5317,111.6482,936
2024-01-21,111.4388,112.7787,110.5455,111.6621,947
2024-01-22,111.4559,112.7960,110.5624,111.6792,960
2024-01-23,111.4764,112.8168,110.5828,111.6998,974
2024-01-24,111.5007,112.8414,110.6069,111.7242,988
2024-01-25,111.5289,112.8700,110.6349,111.7525,1001
2024-01-26,111.5613,112.9027,110.6670,111.7849,1015
2024-01-27,111.5980,112.9399,110.7034,111.8216,1029
2024-01-28,111.6391,112.9815,110.7442,111.8628,1042
2024-01-01,111.6848,113.0277,110.7895,111.9086,1055
2024-01-02,111.7351,113.0786,110.8394,111.9590,1066
2024-01-03,111.7900,113.1342,110.8939,112.0141,1076
2024-01-04,111.8497,113.1946,110.9531,112.0738,1084
2024-01-05,111.9140,113.2596,111.0169,112.1383,1091
2024-01-06,111.9829,113.3294,111.0852,112.2073,1096
2024-01-07,112.0564,113.4037,111.1581,112.2809,1099
2024-01-08,112.1342,113.4825,111.2354,112.3589,1099
2024-01-09,112.2164,113.5657,111.3168,112.4413,1098
2024-01-10,112.3026,113.6530,111.4024,112.5277,1095
2024-01-11,112.3928,113.7442,111.4918,112.6180,1090
2024-01-12,112.4866,113.8391,111.5849,112.7120,1083
2024-01-13,112.5839,113.9376,111.6814,112.8095,1074
2024-01-14,112.6843,114.0392,111.7810,112.9101,1064
2024-01-15,112.7875,114.1437,111.8834,113.0135,1052
2024-01-16,112.8933,114.2507,111.9883,113.1195,1040
